subject_code,subject_name,max_marks,credit,practical
SALB5206,ACADEMIC WRITING,100,2,False
SALB5301,LABOUR LAW -I,100,4,False
SALB5302,CIVIL PROCEDURE CODE AND LIMITATION ACT,100,4,False
SALB5303,LAW OF CRIMES -I (IPC),100,4,False
SALB5304,JURISPRUDENCE (LEGAL METHOD, INDIAN LEGAL SYSTEM AND BASIC THEORY OF LAW),100,4,False
SALB5305,DISASTER MANAGEMENT,100,2,False
SALB5306,ACADEMIC WRITING,100,2,False
SALB5401,COMPANY LAW,100,4,False
SALB5402,DRAFTING, PLEADING AND CONVEYANCE (CLINICAL COURSEI),100,5,True
SALB5403,ARBITRATION, CONCILIATION & ALTERNATIVE DISPUTE RESOLUTION SYSTEM (CLINICAL COURSEIII),100,5,True
SALB5404,ENVIRONMENTAL LAW,100,4,False
SALB5405,INTRODUCTION TO LAW, LEGAL SYSTEMS & LEGAL RESEARCH,100,2,False
SALB5501,PRINCIPLES OF TAXATION LAW,100,4,False
SALB5502,DRAFTING, PLEADING AND CONVEYANCE (CLINICAL COURSEI),100,5,True
